WIDTH: 500
[238] - X: -1.000000, Y: -0.031680
[239] - X: -1.000000, Y: -0.029040
[240] - X: -1.000000, Y: -0.026400
[241] - X: -1.000000, Y: -0.023760
[242] - X: -1.000000, Y: -0.021120
[243] - X: -1.000000, Y: -0.018480
[244] - X: -1.000000, Y: -0.015840
[245] - X: -1.000000, Y: -0.013200
[246] - X: -1.000000, Y: -0.010560
[247] - X: -1.000000, Y: -0.007920
[248] - X: -1.000000, Y: -0.005280
[249] - X: -1.000000, Y: -0.002640
[250] - X: -1.000000, Y: 0.000000
[251] - X: -1.000000, Y: 0.002640
[252] - X: -1.000000, Y: 0.005280
[253] - X: -1.000000, Y: 0.007920
[254] - X: -1.000000, Y: 0.010560
[255] - X: -1.000000, Y: 0.013200
[256] - X: -1.000000, Y: 0.015840
[257] - X: -1.000000, Y: 0.018480
[258] - X: -1.000000, Y: 0.021120
[259] - X: -1.000000, Y: 0.023760
[260] - X: -1.000000, Y: 0.026400
[261] - X: -1.000000, Y: 0.029040
[262] - X: -1.000000, Y: 0.031680
[263] - X: -1.000000, Y: 0.034320
[264] - X: -1.000000, Y: 0.036960
[265] - X: -1.000000, Y: 0.039600
[266] - X: -1.000000, Y: 0.042240
[267] - X: -1.000000, Y: 0.044880
[268] - X: -1.000000, Y: 0.047520
[269] - X: -1.000000, Y: 0.050160
[270] - X: -1.000000, Y: 0.052800
[271] - X: -1.000000, Y: 0.055440
[272] - X: -1.000000, Y: 0.058080
[273] - X: -1.000000, Y: 0.060720
[274] - X: -1.000000, Y: 0.063360
[275] - X: -1.000000, Y: 0.066000
[276] - X: -1.000000, Y: 0.068640
[277] - X: -1.000000, Y: 0.071280
[278] - X: -1.000000, Y: 0.073920
[279] - X: -1.000000, Y: 0.076560
[280] - X: -1.000000, Y: 0.079200
[281] - X: -1.000000, Y: 0.081840
[282] - X: -1.000000, Y: 0.084480
[283] - X: -1.000000, Y: 0.087120
[284] - X: -1.000000, Y: 0.089760
[285] - X: -1.000000, Y: 0.092400
[286] - X: -1.000000, Y: 0.095040
[287] - X: -1.000000, Y: 0.097680
[288] - X: -1.000000, Y: 0.100320
[289] - X: -1.000000, Y: 0.102960
[290] - X: -1.000000, Y: 0.105600
[291] - X: -1.000000, Y: 0.108240
[292] - X: -1.000000, Y: 0.110880
[293] - X: -1.000000, Y: 0.113520
[294] - X: -1.000000, Y: 0.116160
[295] - X: -1.000000, Y: 0.118800
[296] - X: -1.000000, Y: 0.121440
